S&P/ASX 200 Index (1 August 2018),,,,,,,
Code,Company,Sector,Market Cap,Weight(%),,Total Index Market Cap,
TPM,TPG Telecom Limited,Telecommunication Services,"5,344,190,000",0.29,,,
TWE,Treasury Wine Estate,Consumer Staples,"13,237,800,000",0.73,,,
URW,Unibailrodawestfield Chess Depositary Interests 20:1,Real Estate,"7,187,410,000",0.4,,,
VCX,Vicinity Centres Ordinary/Units FP Stapled Securities,Real Estate,"10,298,500,000",0.57,,,
VOC,Vocus Group Limited,Telecommunication Services,"1,499,460,000",0.08,,,
VVR,Viva Energy REIT Stapled Securities,Real Estate,"1,582,130,000",0.09,,,
WBC,Westpac Banking Corp,Financials,"101,189,000,000",5.56,,,
WEB,Webjet Limited,Consumer Discretionary,"1,586,390,000",0.09,,,
WES,Wesfarmers Limited,Consumer Staples,"56,079,700,000",3.08,,,
WHC,Whitehaven Coal,Energy,"5,571,430,000",0.31,,,
WOR,Worleyparsons Limited,Energy,"5,017,580,000",0.28,,,
WOW,Woolworths Group Limited,Consumer Staples,"39,517,900,000",2.17,,,
WPL,Woodside Petroleum,Energy,"33,832,500,000",1.86,,,
WSA,Western Areas Limited,Materials,"886,096,000",0.05,,,
WTC,Wisetech Global Limited,Information Technology,"4,584,830,000",0.25,,,
XRO,Xero Limited,Information Technology,"5,943,960,000",0.33,,,
